,state,stateabb,year,binge_all,binge_male,binge_female,poverty
431890,Virginia,VA,2015,True,False,True,False
431894,Mississippi,MS,2019,True,True,False,False
431912,Guam,GU,2014,True,False,True,False
431926,Wisconsin,WI,2012,True,True,False,False
431927,Massachusetts,MA,2011,True,True,False,False
431934,Ohio,OH,2018,True,False,True,False
431936,South Carolina,SC,2015,True,True,False,False
431968,West Virginia,WV,2015,True,True,False,False
431973,Minnesota,MN,2016,True,False,True,False
432046,West Virginia,WV,2014,True,True,False,False
432050,Washington,WA,2019,True,True,False,False
432053,Ohio,OH,2015,True,True,False,False
432070,Mississippi,MS,2017,True,False,True,False
432076,Nebraska,NE,2018,True,False,True,False
432094,Virginia,VA,2012,True,False,True,False
432110,Oklahoma,OK,2016,True,True,False,False
432115,Tennessee,TN,2012,True,False,True,False
432122,Maryland,MD,2019,True,True,False,False
432130,Minnesota,MN,2019,True,False,True,False
432163,West Virginia,WV,2012,True,True,False,False
432181,New York,NY,2017,True,True,False,False
432191,Louisiana,LA,2015,True,True,False,False
432197,Tennessee,TN,2014,True,False,True,False
432210,New Hampshire,NH,2011,True,False,True,False
432231,Massachusetts,MA,2013,True,False,True,False
432247,United States,US,2012,True,False,True,False
432266,Puerto Rico,PR,2017,True,True,False,False
432271,Louisiana,LA,2017,True,True,False,False
432283,South Carolina,SC,2013,True,True,False,False
432289,Nebraska,NE,2014,True,False,True,False
432302,New Mexico,NM,2015,True,True,False,False
432312,Texas,TX,2011,True,True,False,False
432330,Mississippi,MS,2014,True,False,True,False
432347,Wisconsin,WI,2015,True,True,False,False
432349,Mississippi,MS,2013,True,True,False,False
432358,United States,US,2013,True,False,True,False
432364,Oregon,OR,2019,True,False,True,False
432370,New York,NY,2013,True,True,False,False
432379,Nevada,NV,2011,True,False,True,False
432385,Pennsylvania,PA,2017,True,False,True,False
432424,New York,NY,2012,True,True,False,False
432429,Maine,ME,2014,True,False,True,False
432433,North Dakota,ND,2018,True,False,True,False
432441,Wyoming,WY,2018,True,False,True,False
432445,Minnesota,MN,2013,True,False,True,False
432481,Oklahoma,OK,2011,True,False,True,False
432490,Puerto Rico,PR,2011,True,True,False,False
432491,West Virginia,WV,2016,True,False,True,False
432493,Guam,GU,2016,True,False,True,False
432510,New York,NY,2019,True,True,False,False
432520,Massachusetts,MA,2013,True,True,False,False
432539,New York,NY,2015,True,True,False,False
432543,New York,NY,2014,True,False,True,False
432553,West Virginia,WV,2018,True,True,False,False
432562,Rhode Island,RI,2011,True,False,True,False
432565,Ohio,OH,2011,True,False,True,False
432570,Massachusetts,MA,2011,True,False,True,False
432597,Guam,GU,2018,True,False,True,False
432609,Pennsylvania,PA,2019,True,True,False,False
432610,Tennessee,TN,2017,True,False,True,False
432619,Washington,WA,2017,True,True,False,False
432626,Mississippi,MS,2019,True,False,True,False
